title,alias_short,act,scene
All's Well That Ends Well,1. SOLD. AS INTERPRETER.,Act 3,Scene 1
All's Well That Ends Well,1. SOLD. AS INTERPRETER.,Act 3,Scene 3
All's Well That Ends Well,1. SOLD. AS INTERPRETER.,Act 4,Scene 1
All's Well That Ends Well,1. SOLD. AS INTERPRETER.,Act 4,Scene 3
All's Well That Ends Well,2. LORD. DUM.,Act 4,Scene 1
All's Well That Ends Well,2. SOLD.,Act 3,Scene 1
All's Well That Ends Well,2. SOLD.,Act 3,Scene 3
All's Well That Ends Well,2. SOLD.,Act 4,Scene 1
All's Well That Ends Well,2. SOLD.,Act 4,Scene 3
All's Well That Ends Well,Attendant,Act 5,Scene 3
All's Well That Ends Well,Attendants,Act 1,Scene 2
All's Well That Ends Well,Attendants,Act 2,Scene 3
All's Well That Ends Well,Attendants,Act 5,Scene 1
All's Well That Ends Well,BER.,Act 1,Scene 1
All's Well That Ends Well,BER.,Act 1,Scene 2
All's Well That Ends Well,BER.,Act 2,Scene 1
All's Well That Ends Well,BER.,Act 2,Scene 3
All's Well That Ends Well,BER.,Act 2,Scene 5
All's Well That Ends Well,BER.,Act 3,Scene 3
All's Well That Ends Well,BER.,Act 3,Scene 5
All's Well That Ends Well,BER.,Act 3,Scene 6
All's Well That Ends Well,BER.,Act 4,Scene 2
All's Well That Ends Well,BER.,Act 4,Scene 3
All's Well That Ends Well,BER.,Act 5,Scene 3
All's Well That Ends Well,BOTH LORDS.,Act 1,Scene 2
All's Well That Ends Well,BOTH LORDS.,Act 2,Scene 1
All's Well That Ends Well,BOTH LORDS.,Act 2,Scene 3
All's Well That Ends Well,BOTH LORDS.,Act 3,Scene 1
All's Well That Ends Well,BOTH LORDS.,Act 3,Scene 2
All's Well That Ends Well,BOTH LORDS.,Act 3,Scene 6
All's Well That Ends Well,BOTH LORDS.,Act 4,Scene 3
All's Well That Ends Well,BOTH LORDS.,Act 5,Scene 3
All's Well That Ends Well,Citizens,Act 3,Scene 5
All's Well That Ends Well,CLO.,Act 1,Scene 3
All's Well That Ends Well,CLO.,Act 2,Scene 2
All's Well That Ends Well,CLO.,Act 2,Scene 4
All's Well That Ends Well,CLO.,Act 3,Scene 2
All's Well That Ends Well,CLO.,Act 4,Scene 5
All's Well That Ends Well,CLO.,Act 5,Scene 2
All's Well That Ends Well,COUNT.,Act 1,Scene 1
All's Well That Ends Well,COUNT.,Act 1,Scene 3
All's Well That Ends Well,COUNT.,Act 2,Scene 2
All's Well That Ends Well,COUNT.,Act 3,Scene 2
All's Well That Ends Well,COUNT.,Act 3,Scene 4
All's Well That Ends Well,COUNT.,Act 4,Scene 5
All's Well That Ends Well,COUNT.,Act 5,Scene 3
All's Well That Ends Well,DIA.,Act 3,Scene 5
All's Well That Ends Well,DIA.,Act 4,Scene 2
All's Well That Ends Well,DIA.,Act 4,Scene 4
All's Well That Ends Well,DIA.,Act 5,Scene 1
All's Well That Ends Well,DIA.,Act 5,Scene 3
All's Well That Ends Well,DUKE.,Act 3,Scene 1
All's Well That Ends Well,DUKE.,Act 3,Scene 3
All's Well That Ends Well,GENT.,Act 5,Scene 1
All's Well That Ends Well,GENT.,Act 5,Scene 3
All's Well That Ends Well,HEL.,Act 1,Scene 1
All's Well That Ends Well,HEL.,Act 1,Scene 3
All's Well That Ends Well,HEL.,Act 2,Scene 1
All's Well That Ends Well,HEL.,Act 2,Scene 3
All's Well That Ends Well,HEL.,Act 2,Scene 4
All's Well That Ends Well,HEL.,Act 2,Scene 5
All's Well That Ends Well,HEL.,Act 3,Scene 2
All's Well That Ends Well,HEL.,Act 3,Scene 5
All's Well That Ends Well,HEL.,Act 3,Scene 7
All's Well That Ends Well,HEL.,Act 4,Scene 4
All's Well That Ends Well,HEL.,Act 5,Scene 1
All's Well That Ends Well,HEL.,Act 5,Scene 3
All's Well That Ends Well,KING.,0,Epilogue
All's Well That Ends Well,KING.,Act 1,Scene 2
All's Well That Ends Well,KING.,Act 2,Scene 1
All's Well That Ends Well,KING.,Act 2,Scene 3
All's Well That Ends Well,KING.,Act 5,Scene 3
All's Well That Ends Well,LAF.,Act 1,Scene 1
All's Well That Ends Well,LAF.,Act 1,Scene 2
All's Well That Ends Well,LAF.,Act 2,Scene 1
All's Well That Ends Well,LAF.,Act 2,Scene 3
All's Well That Ends Well,LAF.,Act 2,Scene 5
All's Well That Ends Well,LAF.,Act 4,Scene 5
All's Well That Ends Well,LAF.,Act 5,Scene 2
All's Well That Ends Well,LAF.,Act 5,Scene 3
All's Well That Ends Well,MAR.,Act 3,Scene 5
All's Well That Ends Well,MESS.,Act 4,Scene 3
All's Well That Ends Well,PAGE.,Act 1,Scene 1
All's Well That Ends Well,PAR.,Act 1,Scene 1
All's Well That Ends Well,PAR.,Act 1,Scene 2
All's Well That Ends Well,PAR.,Act 2,Scene 1
All's Well That Ends Well,PAR.,Act 2,Scene 3
All's Well That Ends Well,PAR.,Act 2,Scene 4
All's Well That Ends Well,PAR.,Act 2,Scene 5
All's Well That Ends Well,PAR.,Act 3,Scene 3
All's Well That Ends Well,PAR.,Act 3,Scene 5
All's Well That Ends Well,PAR.,Act 3,Scene 6
All's Well That Ends Well,PAR.,Act 4,Scene 1
All's Well That Ends Well,PAR.,Act 4,Scene 3
All's Well That Ends Well,PAR.,Act 5,Scene 2
All's Well That Ends Well,PAR.,Act 5,Scene 3
All's Well That Ends Well,STEW.,Act 1,Scene 3
All's Well That Ends Well,STEW.,Act 3,Scene 4
All's Well That Ends Well,VIOL.,Act 3,Scene 5
All's Well That Ends Well,WID.,Act 3,Scene 5
All's Well That Ends Well,WID.,Act 3,Scene 7
All's Well That Ends Well,WID.,Act 4,Scene 4
All's Well That Ends Well,WID.,Act 5,Scene 1
All's Well That Ends Well,WID.,Act 5,Scene 3
Antony and Cleopatra,1. CAES. MESS.,Act 1,Scene 4
Antony and Cleopatra,1. EGYPT. SERV.,Act 3,Scene 13
Antony and Cleopatra,1. MESS.,Act 1,Scene 2
Antony and Cleopatra,1. ROM. GUARD.,Act 5,Scene 2
Antony and Cleopatra,1. ROM. MESS.,Act 1,Scene 1
Antony and Cleopatra,1. ROM. SOLD.,Act 5,Scene 2
Antony and Cleopatra,2. CAES. MESS.,Act 1,Scene 4
Antony and Cleopatra,2. EGYPT. SERV.,Act 3,Scene 13
Antony and Cleopatra,2. EGYPT. SERV.,Act 5,Scene 1
Antony and Cleopatra,2. MESS.,Act 1,Scene 2
Antony and Cleopatra,2. ROM. GUARD.,Act 5,Scene 2
Antony and Cleopatra,2. ROM. MESS.,Act 3,Scene 7
Antony and Cleopatra,2. ROM. SOLD.,Act 5,Scene 2
Antony and Cleopatra,3. CAES. MESS.,Act 4,Scene 6
Antony and Cleopatra,AGR.,Act 2,Scene 2
Antony and Cleopatra,AGR.,Act 2,Scene 4
Antony and Cleopatra,AGR.,Act 2,Scene 6
Antony and Cleopatra,AGR.,Act 2,Scene 7
Antony and Cleopatra,AGR.,Act 3,Scene 12
Antony and Cleopatra,AGR.,Act 3,Scene 2
Antony and Cleopatra,AGR.,Act 3,Scene 6
Antony and Cleopatra,AGR.,Act 4,Scene 1
Antony and Cleopatra,AGR.,Act 4,Scene 6
Antony and Cleopatra,AGR.,Act 4,Scene 7
Antony and Cleopatra,AGR.,Act 5,Scene 1
Antony and Cleopatra,ALEX.,Act 1,Scene 2
Antony and Cleopatra,ALEX.,Act 1,Scene 3
Antony and Cleopatra,ALEX.,Act 1,Scene 5
Antony and Cleopatra,ALEX.,Act 2,Scene 5
Antony and Cleopatra,ALEX.,Act 3,Scene 3
Antony and Cleopatra,ALEX.,Act 4,Scene 2
Antony and Cleopatra,AMB.,Act 3,Scene 12
Antony and Cleopatra,AMB.,Act 3,Scene 13
Antony and Cleopatra,ANT.,Act 1,Scene 1
Antony and Cleopatra,ANT.,Act 1,Scene 2
Antony and Cleopatra,ANT.,Act 2,Scene 2
Antony and Cleopatra,ANT.,Act 2,Scene 3
Antony and Cleopatra,ANT.,Act 2,Scene 6
Antony and Cleopatra,ANT.,Act 2,Scene 7
Antony and Cleopatra,ANT.,Act 3,Scene 11
Antony and Cleopatra,ANT.,Act 3,Scene 13
Antony and Cleopatra,ANT.,Act 3,Scene 2
Antony and Cleopatra,ANT.,Act 3,Scene 4
Antony and Cleopatra,ANT.,Act 3,Scene 7
Antony and Cleopatra,ANT.,Act 3,Scene 9
Antony and Cleopatra,ANT.,Act 4,Scene 10
Antony and Cleopatra,ANT.,Act 4,Scene 12
Antony and Cleopatra,ANT.,Act 4,Scene 14
Antony and Cleopatra,ANT.,Act 4,Scene 2
Antony and Cleopatra,ANT.,Act 4,Scene 4
Antony and Cleopatra,ANT.,Act 4,Scene 5
Antony and Cleopatra,ANT.,Act 4,Scene 7
Antony and Cleopatra,ANT.,Act 4,Scene 8
Antony and Cleopatra,ANT. 1. ATT.,Act 3,Scene 11
Antony and Cleopatra,ANT. 1. ATT.,Act 4,Scene 2
Antony and Cleopatra,ANT. 1. GUARD.,Act 4,Scene 14
Antony and Cleopatra,ANT. 1. GUARD.,Act 4,Scene 15
Antony and Cleopatra,ANT. 1. SOLD.,Act 4,Scene 3
Antony and Cleopatra,ANT. 2. ATT.,Act 3,Scene 11
Antony and Cleopatra,ANT. 2. ATT.,Act 4,Scene 2
Antony and Cleopatra,ANT. 2. GUARD.,Act 4,Scene 14
Antony and Cleopatra,ANT. 2. GUARD.,Act 4,Scene 15
Antony and Cleopatra,ANT. 2. SOLD.,Act 4,Scene 3
Antony and Cleopatra,ANT. 3. GUARD.,Act 4,Scene 14
Antony and Cleopatra,ANT. 3. GUARD.,Act 4,Scene 15
Antony and Cleopatra,ANT. 3. SOLD.,Act 4,Scene 3
Antony and Cleopatra,ANT. 4. SOLD.,Act 4,Scene 3
Antony and Cleopatra,Attendants,Act 1,Scene 2
Antony and Cleopatra,CAES.,Act 1,Scene 4
Antony and Cleopatra,CAES.,Act 2,Scene 2
Antony and Cleopatra,CAES.,Act 2,Scene 3
Antony and Cleopatra,CAES.,Act 2,Scene 6
Antony and Cleopatra,CAES.,Act 2,Scene 7
Antony and Cleopatra,CAES.,Act 3,Scene 12
Antony and Cleopatra,CAES.,Act 3,Scene 2
Antony and Cleopatra,CAES.,Act 3,Scene 6
Antony and Cleopatra,CAES.,Act 3,Scene 8
Antony and Cleopatra,CAES.,Act 4,Scene 1
Antony and Cleopatra,CAES.,Act 4,Scene 11
Antony and Cleopatra,CAES.,Act 4,Scene 6
Antony and Cleopatra,CAES.,Act 5,Scene 1
Antony and Cleopatra,CAES.,Act 5,Scene 2
Antony and Cleopatra,CAES. 1. SOLD.,Act 4,Scene 6
Antony and Cleopatra,CAES. 1. WATCH.,Act 4,Scene 9
Antony and Cleopatra,CAES. 2. WATCH.,Act 4,Scene 9
Antony and Cleopatra,CAES. SENT.,Act 4,Scene 9
Antony and Cleopatra,CAN.,Act 3,Scene 10
Antony and Cleopatra,CAN.,Act 3,Scene 7
Antony and Cleopatra,CAPT. ANT. ARMY.,Act 4,Scene 4
Antony and Cleopatra,Captains,Act 2,Scene 7
Antony and Cleopatra,CHAR.,Act 1,Scene 2
Antony and Cleopatra,CHAR.,Act 1,Scene 3
Antony and Cleopatra,CHAR.,Act 1,Scene 5
Antony and Cleopatra,CHAR.,Act 2,Scene 5
Antony and Cleopatra,CHAR.,Act 3,Scene 11
Antony and Cleopatra,CHAR.,Act 3,Scene 13
Antony and Cleopatra,CHAR.,Act 3,Scene 3
Antony and Cleopatra,CHAR.,Act 4,Scene 13
Antony and Cleopatra,CHAR.,Act 4,Scene 15
Antony and Cleopatra,CHAR.,Act 4,Scene 2
Antony and Cleopatra,CHAR.,Act 4,Scene 4
Antony and Cleopatra,CHAR.,Act 5,Scene 2
Antony and Cleopatra,CLEO.,Act 1,Scene 1
Antony and Cleopatra,CLEO.,Act 1,Scene 2
Antony and Cleopatra,CLEO.,Act 1,Scene 3
Antony and Cleopatra,CLEO.,Act 1,Scene 5
Antony and Cleopatra,CLEO.,Act 2,Scene 5
Antony and Cleopatra,CLEO.,Act 3,Scene 11
Antony and Cleopatra,CLEO.,Act 3,Scene 13
Antony and Cleopatra,CLEO.,Act 3,Scene 3
Antony and Cleopatra,CLEO.,Act 3,Scene 7
Antony and Cleopatra,CLEO.,Act 4,Scene 12
Antony and Cleopatra,CLEO.,Act 4,Scene 13
Antony and Cleopatra,CLEO.,Act 4,Scene 15
Antony and Cleopatra,CLEO.,Act 4,Scene 2
Antony and Cleopatra,CLEO.,Act 4,Scene 4
Antony and Cleopatra,CLEO.,Act 4,Scene 8
Antony and Cleopatra,CLEO.,Act 5,Scene 2
Antony and Cleopatra,CLOWN.,Act 5,Scene 2
Antony and Cleopatra,DEC.,Act 4,Scene 14
Antony and Cleopatra,DEC.,Act 5,Scene 1
Antony and Cleopatra,DEM.,Act 1,Scene 1
Antony and Cleopatra,DIO.,Act 4,Scene 14
Antony and Cleopatra,DIO.,Act 4,Scene 15
Antony and Cleopatra,DOL.,Act 3,Scene 12
Antony and Cleopatra,DOL.,Act 4,Scene 6
Antony and Cleopatra,DOL.,Act 5,Scene 1
Antony and Cleopatra,DOL.,Act 5,Scene 2
Antony and Cleopatra,EGYPT. MESS.,Act 2,Scene 5
Antony and Cleopatra,EGYPT. MESS.,Act 3,Scene 3
Antony and Cleopatra,ENO.,Act 1,Scene 2
Antony and Cleopatra,ENO.,Act 2,Scene 2
Antony and Cleopatra,ENO.,Act 2,Scene 6
Antony and Cleopatra,ENO.,Act 2,Scene 7
Antony and Cleopatra,ENO.,Act 3,Scene 10
Antony and Cleopatra,ENO.,Act 3,Scene 13
Antony and Cleopatra,ENO.,Act 3,Scene 2
Antony and Cleopatra,ENO.,Act 3,Scene 5
Antony and Cleopatra,ENO.,Act 3,Scene 7
Antony and Cleopatra,ENO.,Act 3,Scene 9
Antony and Cleopatra,ENO.,Act 4,Scene 2
Antony and Cleopatra,ENO.,Act 4,Scene 6
Antony and Cleopatra,ENO.,Act 4,Scene 9
Antony and Cleopatra,EROS.,Act 3,Scene 11
Antony and Cleopatra,EROS.,Act 3,Scene 5
Antony and Cleopatra,EROS.,Act 4,Scene 14
Antony and Cleopatra,EROS.,Act 4,Scene 5
Antony and Cleopatra,EROS.,Act 4,Scene 7
Antony and Cleopatra,Eunuchs,Act 1,Scene 1
Antony and Cleopatra,GALL.,Act 5,Scene 1
Antony and Cleopatra,GALL.,Act 5,Scene 2
Antony and Cleopatra,IRAS.,Act 1,Scene 2
Antony and Cleopatra,IRAS.,Act 1,Scene 3
Antony and Cleopatra,IRAS.,Act 1,Scene 5
Antony and Cleopatra,IRAS.,Act 2,Scene 5
Antony and Cleopatra,IRAS.,Act 3,Scene 11
Antony and Cleopatra,IRAS.,Act 3,Scene 13
Antony and Cleopatra,IRAS.,Act 3,Scene 3
Antony and Cleopatra,IRAS.,Act 4,Scene 13
Antony and Cleopatra,IRAS.,Act 4,Scene 15
Antony and Cleopatra,IRAS.,Act 4,Scene 2
Antony and Cleopatra,IRAS.,Act 5,Scene 2
Antony and Cleopatra,Ladies,Act 1,Scene 1
Antony and Cleopatra,LEP.,Act 1,Scene 4
Antony and Cleopatra,LEP.,Act 2,Scene 2
Antony and Cleopatra,LEP.,Act 2,Scene 4
Antony and Cleopatra,LEP.,Act 2,Scene 6
Antony and Cleopatra,LEP.,Act 2,Scene 7
Antony and Cleopatra,LEP.,Act 3,Scene 2
Antony and Cleopatra,LUCILL.,Act 1,Scene 2
Antony and Cleopatra,MAEC.,Act 2,Scene 2
Antony and Cleopatra,MAEC.,Act 2,Scene 4
Antony and Cleopatra,MAEC.,Act 2,Scene 6
Antony and Cleopatra,MAEC.,Act 2,Scene 7
Antony and Cleopatra,MAEC.,Act 3,Scene 6
Antony and Cleopatra,MAEC.,Act 4,Scene 1
Antony and Cleopatra,MAEC.,Act 5,Scene 1
Antony and Cleopatra,MAEC.,Act 5,Scene 2
Antony and Cleopatra,Maids,Act 4,Scene 15
Antony and Cleopatra,MAR.,Act 1,Scene 2
Antony and Cleopatra,MAR.,Act 1,Scene 5
Antony and Cleopatra,MAR.,Act 2,Scene 5
Antony and Cleopatra,MAR.,Act 4,Scene 13
Antony and Cleopatra,MAR.,Act 4,Scene 14
Antony and Cleopatra,MAR.,Act 5,Scene 2
Antony and Cleopatra,MENAS.,Act 2,Scene 1
Antony and Cleopatra,MENAS.,Act 2,Scene 6
Antony and Cleopatra,MENAS.,Act 2,Scene 7
Antony and Cleopatra,MENE.,Act 2,Scene 1
Antony and Cleopatra,OCT.,Act 2,Scene 3
Antony and Cleopatra,OCT.,Act 3,Scene 2
Antony and Cleopatra,OCT.,Act 3,Scene 4
Antony and Cleopatra,OCT.,Act 3,Scene 6
Antony and Cleopatra,Officers,Act 3,Scene 1
Antony and Cleopatra,PHI.,Act 1,Scene 1
Antony and Cleopatra,POM.,Act 2,Scene 1
Antony and Cleopatra,POM.,Act 2,Scene 6
Antony and Cleopatra,POM.,Act 2,Scene 7
Antony and Cleopatra,POM. 1. SERV.,Act 2,Scene 7
Antony and Cleopatra,POM. 2. SERV.,Act 2,Scene 7
Antony and Cleopatra,PRO.,Act 5,Scene 1
Antony and Cleopatra,PRO.,Act 5,Scene 2
Antony and Cleopatra,RANN.,Act 1,Scene 2
Antony and Cleopatra,Romans,Act 3,Scene 1
Antony and Cleopatra,SCAR.,Act 3,Scene 10
Antony and Cleopatra,SCAR.,Act 3,Scene 7
Antony and Cleopatra,SCAR.,Act 4,Scene 10
Antony and Cleopatra,SCAR.,Act 4,Scene 12
Antony and Cleopatra,SCAR.,Act 4,Scene 4
Antony and Cleopatra,SCAR.,Act 4,Scene 5
Antony and Cleopatra,SCAR.,Act 4,Scene 7
Antony and Cleopatra,SCAR.,Act 4,Scene 8
Antony and Cleopatra,SEL.,Act 5,Scene 2
Antony and Cleopatra,SIL.,Act 3,Scene 1
Antony and Cleopatra,Soldiers,Act 2,Scene 6
Antony and Cleopatra,Soldiers,Act 3,Scene 1
Antony and Cleopatra,Soldiers,Act 4,Scene 4
Antony and Cleopatra,SOOTH.,Act 1,Scene 2
Antony and Cleopatra,SOOTH.,Act 2,Scene 3
Antony and Cleopatra,TAUR.,Act 3,Scene 10
Antony and Cleopatra,TAUR.,Act 3,Scene 8
Antony and Cleopatra,the dead body of Pacorus,Act 3,Scene 1
Antony and Cleopatra,THID.,Act 3,Scene 12
Antony and Cleopatra,THID.,Act 3,Scene 13
Antony and Cleopatra,VAR.,Act 2,Scene 1
Antony and Cleopatra,VEN.,Act 2,Scene 3
Antony and Cleopatra,VEN.,Act 3,Scene 1
As You Like It,1. LORD. ARD.,Act 2,Scene 1
As You Like It,1. LORD. ARD.,Act 2,Scene 7
As You Like It,1. LORD. ARD.,Act 4,Scene 2
As You Like It,1. LORD. COURT.,Act 1,Scene 2
As You Like It,1. LORD. COURT.,Act 1,Scene 3
As You Like It,1. LORD. COURT.,Act 2,Scene 2
As You Like It,1. LORD. COURT.,Act 3,Scene 1
As You Like It,1. PAGE.,Act 5,Scene 3
As You Like It,2. LORD. ARD.,Act 2,Scene 1
As You Like It,2. LORD. ARD.,Act 2,Scene 7
As You Like It,2. LORD. ARD.,Act 4,Scene 2
As You Like It,2. LORD. COURT.,Act 1,Scene 2
As You Like It,2. LORD. COURT.,Act 1,Scene 3
As You Like It,2. LORD. COURT.,Act 2,Scene 2
As You Like It,2. LORD. COURT.,Act 3,Scene 1
As You Like It,2. PAGE.,Act 5,Scene 3
As You Like It,ADAM.,Act 1,Scene 1
As You Like It,ADAM.,Act 2,Scene 3
As You Like It,ADAM.,Act 2,Scene 6
As You Like It,ADAM.,Act 2,Scene 7
As You Like It,AMI.,Act 2,Scene 1
As You Like It,AMI.,Act 2,Scene 5
As You Like It,AMI.,Act 2,Scene 7
As You Like It,AMI.,Act 5,Scene 4
As You Like It,Attendants,Act 1,Scene 2
As You Like It,AUD.,Act 3,Scene 3
As You Like It,AUD.,Act 5,Scene 1
As You Like It,AUD.,Act 5,Scene 3
As You Like It,AUD.,Act 5,Scene 4
As You Like It,CEL.,Act 1,Scene 2
As You Like It,CEL.,Act 1,Scene 3
As You Like It,CEL.,Act 2,Scene 4
As You Like It,CEL.,Act 3,Scene 2
As You Like It,CEL.,Act 3,Scene 4
As You Like It,CEL.,Act 3,Scene 5
As You Like It,CEL.,Act 4,Scene 1
As You Like It,CEL.,Act 4,Scene 3
As You Like It,CEL.,Act 5,Scene 4
As You Like It,CHA.,Act 1,Scene 1
As You Like It,CHA.,Act 1,Scene 2
As You Like It,COR.,Act 2,Scene 4
As You Like It,COR.,Act 3,Scene 2
As You Like It,COR.,Act 3,Scene 4
As You Like It,COR.,Act 3,Scene 5
As You Like It,COR.,Act 5,Scene 1
As You Like It,DEN.,Act 1,Scene 1
As You Like It,DUKE F.,Act 1,Scene 2
As You Like It,DUKE F.,Act 1,Scene 3
As You Like It,DUKE F.,Act 2,Scene 2
As You Like It,DUKE F.,Act 3,Scene 1
As You Like It,DUKE S.,Act 2,Scene 1
As You Like It,DUKE S.,Act 2,Scene 7
As You Like It,DUKE S.,Act 5,Scene 4
As You Like It,HYM.,Act 5,Scene 4
As You Like It,JAQ.,Act 2,Scene 5
As You Like It,JAQ.,Act 2,Scene 7
As You Like It,JAQ.,Act 3,Scene 2
As You Like It,JAQ.,Act 3,Scene 3
As You Like It,JAQ.,Act 4,Scene 1
As You Like It,JAQ.,Act 4,Scene 2
As You Like It,JAQ.,Act 5,Scene 4
As You Like It,JAQ. DE B.,Act 5,Scene 4
As You Like It,LE BEAU.,Act 1,Scene 2
As You Like It,OLI.,Act 1,Scene 1
As You Like It,OLI.,Act 3,Scene 1
As You Like It,OLI.,Act 4,Scene 3
As You Like It,OLI.,Act 5,Scene 2
As You Like It,OLI.,Act 5,Scene 4
As You Like It,ORL.,Act 1,Scene 1
As You Like It,ORL.,Act 1,Scene 2
As You Like It,ORL.,Act 2,Scene 3
As You Like It,ORL.,Act 2,Scene 6
As You Like It,ORL.,Act 2,Scene 7
As You Like It,ORL.,Act 3,Scene 2
As You Like It,ORL.,Act 4,Scene 1
As You Like It,ORL.,Act 5,Scene 2
As You Like It,ORL.,Act 5,Scene 4
As You Like It,PHE.,Act 3,Scene 5
As You Like It,PHE.,Act 5,Scene 2
As You Like It,PHE.,Act 5,Scene 4
As You Like It,ROS.,0,Epilogue
As You Like It,ROS.,Act 1,Scene 2
As You Like It,ROS.,Act 1,Scene 3
As You Like It,ROS.,Act 2,Scene 4
As You Like It,ROS.,Act 3,Scene 2
As You Like It,ROS.,Act 3,Scene 4
As You Like It,ROS.,Act 3,Scene 5
As You Like It,ROS.,Act 4,Scene 1
As You Like It,ROS.,Act 4,Scene 3
As You Like It,ROS.,Act 5,Scene 2
As You Like It,ROS.,Act 5,Scene 4
As You Like It,SIL.,Act 2,Scene 4
As You Like It,SIL.,Act 3,Scene 5
As You Like It,SIL.,Act 4,Scene 3
As You Like It,SIL.,Act 5,Scene 2
As You Like It,SIL.,Act 5,Scene 4
As You Like It,SIR OLI.,Act 3,Scene 3
As You Like It,TOUCH.,Act 1,Scene 2
As You Like It,TOUCH.,Act 2,Scene 4
As You Like It,TOUCH.,Act 3,Scene 2
As You Like It,TOUCH.,Act 3,Scene 3
As You Like It,TOUCH.,Act 5,Scene 1
As You Like It,TOUCH.,Act 5,Scene 3
As You Like It,TOUCH.,Act 5,Scene 4
As You Like It,WILL.,Act 5,Scene 1
Comedy of Errors,1. MER.,Act 1,Scene 2
Comedy of Errors,2. MER.,Act 4,Scene 1
Comedy of Errors,2. MER.,Act 5,Scene 1
Comedy of Errors,ABB.,Act 5,Scene 1
Comedy of Errors,ADR.,Act 2,Scene 1
Comedy of Errors,ADR.,Act 2,Scene 2
Comedy of Errors,ADR.,Act 3,Scene 1
Comedy of Errors,ADR.,Act 4,Scene 2
Comedy of Errors,ADR.,Act 4,Scene 4
Comedy of Errors,ADR.,Act 5,Scene 1
Comedy of Errors,ANG.,Act 3,Scene 1
Comedy of Errors,ANG.,Act 3,Scene 2
Comedy of Errors,ANG.,Act 4,Scene 1
Comedy of Errors,ANG.,Act 5,Scene 1
Comedy of Errors,Attendants,Act 1,Scene 1
Comedy of Errors,BALTH.,Act 3,Scene 1
Comedy of Errors,COUR.,Act 4,Scene 3
Comedy of Errors,COUR.,Act 4,Scene 4
Comedy of Errors,COUR.,Act 5,Scene 1
Comedy of Errors,DUKE.,Act 1,Scene 1
Comedy of Errors,DUKE.,Act 5,Scene 1
Comedy of Errors,E. ANT.,Act 3,Scene 1
Comedy of Errors,E. ANT.,Act 4,Scene 1
Comedy of Errors,E. ANT.,Act 4,Scene 4
Comedy of Errors,E. ANT.,Act 5,Scene 1
Comedy of Errors,E. DRO.,Act 1,Scene 2
Comedy of Errors,E. DRO.,Act 2,Scene 1
Comedy of Errors,E. DRO.,Act 3,Scene 1
Comedy of Errors,E. DRO.,Act 4,Scene 1
Comedy of Errors,E. DRO.,Act 4,Scene 4
Comedy of Errors,E. DRO.,Act 5,Scene 1
Comedy of Errors,EGE.,Act 1,Scene 1
Comedy of Errors,EGE.,Act 5,Scene 1
Comedy of Errors,HEAD.,Act 5,Scene 1
Comedy of Errors,JAIL.,Act 1,Scene 1
Comedy of Errors,LUC.,Act 2,Scene 1
Comedy of Errors,LUC.,Act 2,Scene 2
Comedy of Errors,LUC.,Act 3,Scene 2
Comedy of Errors,LUC.,Act 4,Scene 2
Comedy of Errors,LUC.,Act 4,Scene 4
Comedy of Errors,LUC.,Act 5,Scene 1
Comedy of Errors,LUCE.,Act 3,Scene 1
Comedy of Errors,MESS.,Act 5,Scene 1
Comedy of Errors,OFF.,Act 4,Scene 1
Comedy of Errors,OFF.,Act 4,Scene 4
Comedy of Errors,Officers,Act 1,Scene 1
Comedy of Errors,Officers,Act 5,Scene 1
Comedy of Errors,PINCH.,Act 4,Scene 4
Comedy of Errors,S. ANT.,Act 1,Scene 2
Comedy of Errors,S. ANT.,Act 2,Scene 2
Comedy of Errors,S. ANT.,Act 3,Scene 2
Comedy of Errors,S. ANT.,Act 4,Scene 3
Comedy of Errors,S. ANT.,Act 4,Scene 4
Comedy of Errors,S. ANT.,Act 5,Scene 1
Comedy of Errors,S. DRO.,Act 1,Scene 2
Comedy of Errors,S. DRO.,Act 2,Scene 2
Comedy of Errors,S. DRO.,Act 3,Scene 1
Comedy of Errors,S. DRO.,Act 3,Scene 2
Comedy of Errors,S. DRO.,Act 4,Scene 1
Comedy of Errors,S. DRO.,Act 4,Scene 2
Comedy of Errors,S. DRO.,Act 4,Scene 3
Comedy of Errors,S. DRO.,Act 4,Scene 4
Comedy of Errors,S. DRO.,Act 5,Scene 1
Coriolanus,1. AED.,Act 3,Scene 3
Coriolanus,1. AED.,Act 4,Scene 2
Coriolanus,1. AED.,Act 4,Scene 6
Coriolanus,1. MESS.,Act 1,Scene 1
Coriolanus,1. MESS.,Act 4,Scene 6
Coriolanus,1. MESS.,Act 5,Scene 4
Coriolanus,1. OFF.,Act 2,Scene 2
Coriolanus,1. ROM.,Act 1,Scene 5
Coriolanus,1. SERV.,Act 4,Scene 5
Coriolanus,1. WATCH.,Act 5,Scene 2
Coriolanus,2. MESS.,Act 1,Scene 4
Coriolanus,2. MESS.,Act 1,Scene 6
Coriolanus,2. MESS.,Act 4,Scene 6
Coriolanus,2. OFF.,Act 2,Scene 2
Coriolanus,2. ROM.,Act 1,Scene 5
Coriolanus,2. SERV.,Act 4,Scene 5
Coriolanus,2. WATCH.,Act 5,Scene 2
Coriolanus,3. MESS.,Act 2,Scene 1
Coriolanus,3. MESS.,Act 5,Scene 4
Coriolanus,3. ROM.,Act 1,Scene 5
Coriolanus,3. SERV.,Act 4,Scene 5
Coriolanus,ADR.,Act 4,Scene 3
